,Factor 1,Factor 2
pub.1058300261,-0.8938030315812177,0.26817396330011556
pub.1150861509,-0.9070777694143392,0.24877077699768532
pub.1027383515,-0.8938007413571558,0.26817369575398065
pub.1002298503,-0.8937994394272325,0.2681735436649603
pub.1062458681,-0.8938015838615008,0.2681737941756009
pub.1050531291,-0.8938018563368557,0.26817382600937767
pub.1041786294,-0.8938015977414325,0.2681737957986626
pub.1001038419,-0.8938005869306264,0.26817367771276723
pub.1014404637,-0.8938002676102758,0.26817364041248054
pub.1142302654,-0.8938003206965002,0.2681736466138471
pub.1104332674,-0.8938032392548111,0.2681739875638186
pub.1026743684,0.39245065894808523,-0.8190360758959866
pub.1002995980,0.30263581295582725,0.2050468753029151
pub.1034831932,0.25758056347649677,0.21916259987261658
pub.1000044783,0.3475082669741058,0.19071963508797532
pub.1001757206,0.22298657950597467,0.2569336285872593
pub.1105833130,0.22298628753214575,0.2569336893936216
pub.1037797055,0.2229862801450706,0.25693369057445314
pub.1090351100,0.33186646712286066,0.20244707613613427
pub.1019120649,0.22298618219280714,0.2569337098455538
pub.1125719237,0.3318872541006672,0.2024837587459332
pub.1083744142,0.22298582630990385,0.2569337830381603
pub.1005522466,0.2229862866728494,0.2569336906666159
pub.1145718658,0.2229860022876853,0.25693374744295294
pub.1000272452,0.2229861603627594,0.25693371519199887
pub.1070261725,0.22298633399649392,0.25693368023339325
pub.1147366235,0.22298557076008826,0.25693383612731896
pub.1053298893,0.22298536780695793,0.2569338774009446
pub.1050689363,0.33186398576972037,0.20244272494887883
pub.1158254668,0.22298624170929204,0.2569336989391696
pub.1141481143,0.3318640741283332,0.20244308253443458
pub.1047677798,0.22298702862181033,0.25693353725410617
pub.1144547783,0.22298525636306343,0.2569338994222751
pub.1032366108,0.22298602979390306,0.2569337420382484
pub.1030116975,0.22298607800875073,0.25693373264099595
pub.1107910981,0.22298626115208509,0.2569336953001163
pub.1010579012,0.318720826128989,-0.880505623967656
pub.1058058756,0.3187211389283984,-0.8805098416090165
pub.1060755812,0.3187205527764078,-0.8805019380032267
pub.1114160691,0.31253687929816887,-0.8922194475400445
pub.1043694455,0.31872138569723835,-0.8805131677438763
pub.1150278026,0.3187214981671705,-0.8805146847264553
pub.1037577348,0.3187210053493959,-0.8805080408896395
pub.1132513088,0.3187211214031045,-0.880509604572864
pub.1029581750,0.3187214695536547,-0.8805142988803177
pub.1108343385,0.3187210670945038,-0.8805088725164897
pub.1032233097,0.3187208278441317,-0.8805056470549771
pub.1022474394,0.31872132886711685,-0.8805124025721592
pub.1029300016,0.3187210976995137,-0.8805092855402562
pub.1021291567,0.3187208854994782,-0.8805064249423682
pub.1004326184,0.3187209084439252,-0.880506734447242
pub.1156950176,0.31872064957377033,-0.8805032437935825
pub.1060825376,0.31872137166372544,-0.8805129792489153
pub.1111588399,0.31872138792182136,-0.880513198283879
pub.1113379470,0.31872137006482837,-0.8805129574823447
pub.1131315804,0.318720956924914,-0.8805073875164676
pub.1038003829,0.31872150466303095,-0.8805147716627982
pub.1025267771,0.3187208746635008,-0.8805062780486647
pub.1141456559,0.3187208322288328,-0.8805057068541284
pub.1010859251,0.31872120377503455,-0.8805107158867893
pub.1042316560,0.31872116531839184,-0.8805101965081998
pub.1061389638,0.31872122834946104,-0.8805110468233167
pub.1041699593,0.3187206903312594,-0.8805037929311423
pub.1014982528,0.3187213357725776,-0.8805124950537488
pub.1010608102,0.3187211837263643,-0.8805104449504605
pub.1131503625,0.31872140733985,-0.8805134600932879
pub.1155786670,0.3187208792036738,-0.8805063395236838
pub.1134429073,0.31872146268846724,-0.8805142065219579
pub.1062510683,0.318720679799886,-0.8805036515660206
pub.1145600304,0.31872115177154176,-0.8805100143783443
pub.1036587941,0.3187213166991728,-0.8805122381252888
