,Factor 1 (Variance explained: 53.9),Factor 2 (Variance explained: 13.41),Factor 3 (Variance explained: 5.13),Factor 4 (Variance explained: 3.13),Factor 5 (Variance explained: 2.09),Factor 6 (Variance explained: 1.65),Factor 7 (Variance explained: 1.15)
pub.1038107155,0.8606280906774861,0.26894846093101443,-0.04943014509626597,-0.03050121968403582,0.037337759543212765,0.08175884096348855,-0.06197050833187732
pub.1027834225,0.8533135924798507,0.1093273698255922,0.002468950406543685,-0.04640917318676232,0.0014375209075755146,0.032590130424811306,-0.020601684143168212
pub.1106824786,0.4805773126533879,0.722945674930954,-0.18751777923797391,0.07284874907499367,0.07918146591120935,-0.027548183498108864,0.06448704141014872
pub.1052912863,0.05086722611875424,0.8987883916539001,-0.19791044881100228,0.14083702160003422,0.020866983209529424,-0.017020419426308078,0.020709291821377783
pub.1100117421,0.0019308937331474212,-0.2693743611630096,0.8691272602359253,-0.10174285839390693,-0.006131623142426288,0.03775159058455512,0.01354420074664998
pub.1017035582,0.8038052782753353,-0.03736352628542265,0.05160564943551355,-0.13225100511178833,0.0030042732912010017,0.173198343946569,-0.14816525392182286
pub.1036267404,0.5498474869628317,-0.20479598919160796,-0.0903454311462017,-0.20015904698420312,0.10224861510740023,0.017055812334301666,-0.29845437035539235
pub.1002730250,0.6118675236701457,-0.2249617333129037,0.20832720933283688,-0.3648559092589856,0.07336790714026759,0.10360040705558403,-0.21343455992256538
pub.1038721814,0.8452368290616203,-0.06322326111414392,0.2106485894775868,-0.1481052698369247,0.024424009305354454,0.0028874281965679525,-0.06482244913099434
pub.1101833094,0.7699992567305732,-0.06406370397885482,0.2537586712038957,-0.17269027505655163,0.04429197955258935,0.14948537799926548,-0.06534535690141309
pub.1017222920,0.6115155527111179,-0.19404350635460418,0.11788976293694764,-0.3470183252118637,0.07015340286009963,0.012764751049344198,-0.20023071433594763
pub.1050365684,0.6405943848472421,0.6282719491474059,-0.05286822346887392,0.013714427772815093,0.02765545215501031,0.02391580878152141,0.050961262114441824
pub.1043290071,0.8487553362145589,0.15716456265662018,0.050577170779789175,0.04023017780001373,0.019721788528066952,0.07063428178043078,0.019968904594424724
pub.1133142058,0.9152438115587629,0.09956291448896154,-0.025409179653287275,0.014875518382473508,-0.0015327477593431455,0.04001956139095579,-0.024605808151715362
pub.1045775727,0.7847432108441594,0.3650598453492987,0.0695451083073382,-0.06608844368524527,0.04130708547199276,0.05634409871087221,0.012576868871194826
pub.1139985572,-0.12539721478543972,-0.229679936434759,0.8376340683352761,-0.0033385275862045944,0.055078283719175246,0.016811582800780833,0.041949867176818915
pub.1010080128,-0.15932382567078376,0.8213662400308258,-0.2814792283892896,0.04863926645757417,-0.190045329620849,-0.03650607304440876,0.0342523892704239
pub.1040348336,0.883101048541462,0.0033997422557228082,0.0001329646837090973,-0.09957286722878325,0.04508474326031796,0.10409262356327603,-0.12972517432785002
pub.1049291521,0.8462689481297012,-0.005228399182425974,0.2676877021766262,-0.09719995768141164,0.0334572503043188,0.0100628649805585,-0.005795858294266184
pub.1030771616,0.6314460950856764,-0.15624941823725164,0.5222393921858035,-0.13118519233093354,-0.03175879479092193,0.1066755234993215,0.03376754197769948
pub.1042716141,0.7972195106325328,-0.0764668344192082,0.2858075849950808,-0.189203226775304,0.007818285153572413,0.03912576712825487,-0.0770921022747607
pub.1112308343,0.8240537600540235,-0.011071222184927919,0.22770993800619208,-0.14099622684954577,-0.026725852267405543,0.035784376143833604,-0.07200654755304504
pub.1026995654,0.7126098018154794,-0.10556314535325553,0.23363907899304898,-0.1910883644102608,0.04512586256493913,0.23835979580805713,-0.11522546078064516
pub.1039911506,0.7458461325550041,-0.08763482183030005,0.3663757960925791,-0.18993407279284735,-0.017765826746420077,0.03261803649175361,0.01944611385570534
pub.1024541640,0.9141263639533995,0.029079476076481266,0.08884993949458964,-0.04163941280458114,0.002477376301394115,0.08539128856346231,-0.032107271914322645
pub.1049936910,0.5450281732519391,-0.25985631363499956,0.15191193752245202,-0.32632836533621684,0.07687502388503638,-0.030536296696983302,-0.3304785011482038
pub.1044363410,-0.20145434843344645,-0.2749572538903036,0.728812930293575,-0.03615737945416466,-0.022135778127799963,-0.028630084837557117,0.037534689030917896
pub.1122925029,0.3460164422916414,-0.1616889250020306,0.6582755474831932,-0.002090439840528982,0.03157733410310806,-0.006077788506684284,0.05505790647759203
pub.1106021009,-0.14906733861894295,-0.15736976182015489,0.6024221822666624,0.13578860045246793,0.036252913115741615,0.04043849759798979,0.10220881653905461
pub.1020886724,-0.07787982741235759,-0.2834243181816748,0.7524904584535015,-0.023192287189090624,-0.02962760315373092,-0.006547324105760497,0.022891177378105712
pub.1130753176,-0.21249163635385027,-0.2468454920376605,0.7698143191329959,-0.007627192441342144,0.008317226899398776,0.010660203366011685,0.025410624277164486
pub.1100925166,0.6720579879500461,-0.08559944913190672,-0.18499551026655414,-0.13660270937658317,0.06722441400753114,-0.020666744744935215,-0.32432987225528687
pub.1109974727,0.3563722994147489,-0.23789578305124448,0.22261227060189723,-0.3536709366934273,0.05918395070467915,0.009327365791447387,-0.18669641870740436
pub.1121232227,0.5139230906009004,-0.24306895327540146,0.1958583696818961,-0.34976949979544136,0.08710178139648599,0.11484531623911477,-0.2206187280745351
pub.1022084192,0.8511184713520311,0.24929226320249828,-0.13144024684865718,-0.07238928089768577,0.019787007645992886,-0.018229634779685665,-0.10419815932536364
pub.1004162553,0.4022239088026945,-0.1421612102055132,0.4019455382640926,-0.3394552073063021,0.10092780685553356,-0.016681255713808116,-0.10371869839056232
pub.1013295002,0.6895738732829012,0.4874759647321289,-0.1007371012666029,-0.10380943239657187,0.024579869485855138,-0.027969040641790413,-0.10774377087862087
pub.1136814475,0.39996998227665903,-0.17102638341463233,0.5092522298750979,-0.2916659124394782,-0.00800391688469782,-0.005535684977476118,-0.011495134091470013
pub.1083762751,0.48134619946917817,-0.19294356574208632,0.6207192420219224,-0.23307405377985196,-0.013796592792521685,0.12472903534664405,-0.003132558007093801
pub.1040525784,0.8028747895952183,0.02414390709132961,-0.010482378068509837,-0.0840201784251765,0.03437382003063783,0.1675949558834426,-0.19036991797486183
pub.1012630785,0.5263409628854557,-0.1344271784011417,0.2654080088532335,-0.09205919206702481,0.08824539000514618,0.2666322420406507,-0.12454112753367899
pub.1039212361,0.42251812224209606,-0.07414720477707223,0.2861434560816198,-0.02394509287184382,0.027424946137331218,0.8251890685093483,-0.027968675059536645
pub.1000012053,0.5306720449345005,-0.13687675827580395,-0.11101466434583956,-0.0916383000909199,0.10229979274142222,0.16272714469399258,-0.6585177049987858
pub.1050121082,0.5083052505947013,-0.13917434807580184,-0.1526142293360817,-0.18924211911291874,0.06849603092837174,-0.046442568949301176,-0.7333613222909595
pub.1041985305,-0.0987034629130185,0.824301219991383,-0.28913426421036087,0.04172215138698653,-0.16965699626638472,-0.04686453571937265,-0.0036395006317091203
pub.1101140361,0.9145266513706711,0.08246244778846218,0.00867581811809653,-0.008666776294883886,-0.009750293236260438,0.005663372249435283,-0.06364602403257395
pub.1013675575,0.7430595356470023,-0.09858831494840704,0.2429908631084988,-0.08289858786523517,-0.004654103905786513,-0.0359376840871156,-0.08883806029845667
pub.1009989542,0.8011730179796489,0.07787545084409517,0.09426159167131544,0.05914155567804689,-0.028363492825473065,0.10400846168792914,0.008622355341760373
pub.1043840777,0.8923999757175805,0.027862788611093137,0.191085229952637,-0.04063775435634101,0.0067356780785639316,0.03607738623520566,-0.01371516137987251
pub.1016675831,0.22885894312770363,0.13188349391771356,-0.28979153029691873,-0.03653569274772639,-0.28756755012553536,-0.03540257593229214,-0.050850779851150364
pub.1027903074,0.7329656033053326,-0.03681521471257042,0.22947798089170515,-0.012822606067611543,-0.03649659200054546,-0.0009446280877233538,-0.04325640129041269
pub.1029772873,0.42282739509077133,0.7407052343290254,-0.1950991227399565,0.054441965839933666,-0.002019176224954407,-0.021812113378536085,0.01249055111688372
pub.1010370510,-0.12769196280374856,0.1369930246683871,-0.047398512044881796,0.07914192843762188,-0.9139624191690556,-0.024707943234093133,0.08711689312161579
pub.1034416188,-0.09056551568693133,0.8309440982263618,-0.27925601073395745,0.05851752501147726,-0.08782933743524543,-0.04154838002571989,0.06084538667266217
pub.1030091199,-0.0008615621240233409,0.8781520133287535,-0.17828115361140878,0.05114947157636022,-0.007175785475406568,-0.015883838005342852,0.038020469001261395
pub.1000041157,0.6658663531116299,0.09545270674821217,-0.1797747683887767,-0.01612771123181831,-0.1827226627945922,-0.012067320813615631,-0.05051782198942321
